Source,Compare,Value,Val Type 2,Val Type 3
15,5362,0.810053087800724,0.8222408982418309,0.14285714285714285
23,17004,0.8052238667302283,0.8404775006400403,0.18181818181818185
32,15298,0.8133241648260726,0.8381072412533741,0.16666666666666666
32,17004,0.8142826630627084,0.834265282864905,0.08333333333333333
100,15298,0.8053413090560404,0.8329381110368534,0.14285714285714285
100,17004,0.819398489263729,0.8558545923278192,0.07692307692307693
141,15842,0.8242789654971986,0.833748591975253,0.09090909090909093
153,15298,0.8133241648260726,0.8381072412533741,0.16666666666666666
153,17004,0.8142826630627084,0.834265282864905,0.08333333333333333
168,15945,0.8020179081626421,0.8237581769183641,0.0
203,17004,0.8282395752637902,0.8445855958544971,0.07692307692307693
209,13951,0.801426098896545,0.8298688580627774,0.09090909090909093
209,17004,0.8402378891805452,0.8514958006494763,0.07692307692307693
220,16765,0.8002291592976059,0.8054497404059037,0.07692307692307693
222,17004,0.8599911421066759,0.8564263637605691,0.07692307692307693
226,8506,0.8038507500282717,0.817531202159195,0.0
233,17004,0.8237680780428581,0.8420276355500542,0.07692307692307693
241,17004,0.8105980088458914,0.8098321472043971,0.0
244,14585,0.8187539367833189,0.8444723816972666,0.09090909090909093
246,15945,0.8163318617331002,0.823271397542334,0.0
247,17004,0.8277619245006967,0.8334704882582528,0.07692307692307693
251,13331,0.8045920356592137,0.8202622704218006,0.0
257,14585,0.852457821922705,0.8720225239690746,0.09090909090909093
269,17886,0.8173361608358461,0.8330308023268337,0.14285714285714285
279,15298,0.8125035993119111,0.8385333131783199,0.14285714285714285
285,15298,0.8014350724298226,0.8223334672393087,0.16666666666666666
287,14277,0.8395265388698643,0.8553166175435095,0.09090909090909093
287,19954,0.8313984820467741,0.8477053861719996,0.125
291,15945,0.8117387116010932,0.8245590514751768,0.0
294,12922,0.8177288983799611,0.8373158828397145,0.08333333333333333
294,17250,0.8213911572521175,0.8402747464543682,0.1
306,15298,0.8130479987857959,0.8387458264770664,0.14285714285714285
307,14585,0.8331950367418338,0.8572335132020228,0.09090909090909093
311,14277,0.8710778849699101,0.8824765509136995,0.2
311,19954,0.8244569940137224,0.8406982694771689,0.125
321,1034,0.8020372942589057,0.7900965677466473,0.14285714285714285
334,15945,0.8117387116010932,0.8245590514751768,0.0
392,17106,0.8196979536620284,0.8480952539553646,0.0
397,5572,0.8040846915466232,0.8108407702768264,0.0
400,16755,0.8077244672764001,0.8405206084708546,0.1111111111111111
402,17004,0.8137547074617196,0.8017459896743913,0.0
402,17886,0.8450792567027102,0.8569775084410991,0.14285714285714285
421,14585,0.8135415930512093,0.8402380911103207,0.09090909090909093
424,14585,0.8094415113185645,0.8359595405046935,0.0
429,14585,0.8231307718893249,0.8481589487840936,0.0
436,15842,0.8067773226106366,0.8153387157591974,0.08333333333333333
457,15945,0.8086546952513272,0.8190121859511122,0.0
477,13951,0.8059518018120884,0.8231503128940431,0.0
477,14277,0.8053635211186831,0.8257472384775211,0.09090909090909093
478,14585,0.8174751056756646,0.8394475125553009,0.0
512,14585,0.8006775845984041,0.8264643217172241,0.09090909090909093
519,14585,0.8409621496145042,0.8615162498676784,0.0
529,17004,0.8138306676452571,0.7993157782635508,0.0
532,14585,0.8070355204490502,0.8198499955022077,0.0
570,14585,0.8009520812968194,0.8274013830457956,0.07692307692307693
586,14585,0.8174751056756646,0.8394475125553009,0.0
594,17106,0.8180238194177549,0.8449531160340245,0.0
598,14342,0.8198359679294096,0.8286786139146708,0.05263157894736842
606,5572,0.8022753519738022,0.8069854107916746,0.0
631,16230,0.8210303026113227,0.8381912692051617,0.05882352941176471
637,14585,0.8409621496145042,0.8615162498676784,0.0
642,15298,0.8003102305152601,0.8243437583581297,0.125
642,17106,0.8161430453120714,0.8390640396343287,0.0
646,3381,0.8055514894175831,0.8281701539758437,0.0
647,14277,0.8096491043369166,0.8218309841188128,0.15384615384615385
694,15298,0.8071223764130205,0.8332654304562496,0.1
708,14585,0.8022692736808419,0.8281779173317495,0.0
708,15298,0.8103558320401921,0.8341566343085971,0.1111111111111111
708,17106,0.8027877498576562,0.8288623806093759,0.0
710,15298,0.8090315074982396,0.8315785116483351,0.1111111111111111
711,15298,0.8066950405216303,0.8328197084294237,0.1
713,16230,0.809767027448667,0.8267879581896148,0.05882352941176471
728,17004,0.8031808581993635,0.7848742035026952,0.0
736,16230,0.8090936026799692,0.8266239724450679,0.05882352941176471
744,16230,0.8060449178236562,0.8215811819114848,0.05882352941176471
759,14277,0.8713090834612832,0.879210580604067,0.15384615384615385
768,15298,0.8184997652082983,0.8399374562717393,0.1111111111111111
768,17106,0.8033277038299533,0.8273973454322828,0.0
774,16230,0.8074828478909406,0.8284531515220623,0.05882352941176471
784,15298,0.8083333370004849,0.8275195711395958,0.125
785,15298,0.8157189083648808,0.8417243030746967,0.1
805,89,0.8027611496355559,0.8222427375471533,0.2
805,15298,0.8336400996520533,0.8543915602549701,0.125
806,12922,0.8054132742052301,0.8168974986644824,0.07142857142857142
806,12940,0.8039352254769697,0.8178795196704988,0.0
814,15298,0.8251910027626541,0.8486634411179391,0.1111111111111111
822,15298,0.8012110883839412,0.8270624648445484,0.125
825,14277,0.8114997932447605,0.8186069719969278,0.15384615384615385
828,89,0.8046581937953786,0.8245455558936716,0.08333333333333333
828,15298,0.8093833050988198,0.8333888807184578,0.1111111111111111
832,15298,0.828638220970403,0.8517499536063606,0.1111111111111111
836,15298,0.8435861707172919,0.8626049740593256,0.1111111111111111
841,15298,0.8070897488475425,0.8337394718617653,0.125
