Source,Compare,Value,Val Type 2,Val Type 3
23,17004,0.814493598303149,0.8135816453173871,0.18181818181818185
32,15298,0.8191134332598501,0.8150870774132216,0.16666666666666666
32,17004,0.8000743132776437,0.8000995689360251,0.08333333333333333
100,15298,0.8132717399165151,0.8093932034999989,0.14285714285714285
100,17004,0.831482266688001,0.8315075343995627,0.07692307692307693
105,13778,0.8378559076120836,0.7861127068853437,0.18181818181818185
141,15842,0.8099653972278044,0.8150927749580683,0.09090909090909093
142,13778,0.8062928401194001,0.7632643845758078,0.08333333333333333
153,15298,0.8191134332598501,0.8150870774132216,0.16666666666666666
153,17004,0.8000743132776437,0.8000995689360251,0.08333333333333333
203,206,0.8122574119253629,0.7690151218155775,0.08333333333333333
203,17004,0.816969253373678,0.8169827817584364,0.07692307692307693
209,206,0.8328925136017619,0.7761297877951588,0.18181818181818185
209,17004,0.8240592959113634,0.8237267270366836,0.07692307692307693
222,14083,0.8022812448710686,0.7622138582263096,0.08333333333333333
222,17004,0.8352372705349922,0.8281084804152898,0.07692307692307693
233,14083,0.804155560535506,0.7732734297181115,0.08333333333333333
233,16752,0.8014818013406831,0.7761349683504973,0.07692307692307693
233,17004,0.8240768193276686,0.8204532160978619,0.07692307692307693
244,14585,0.8066075113306888,0.8066656553404161,0.09090909090909093
247,17004,0.8054971819017867,0.7942899328695057,0.07692307692307693
257,14585,0.8374589331103459,0.8369320106005034,0.09090909090909093
269,17886,0.8045180961817321,0.7965097299107132,0.14285714285714285
279,15298,0.8081484146663016,0.8107320133606005,0.14285714285714285
287,14277,0.8271432761745814,0.8277573127946232,0.09090909090909093
287,19954,0.8174908963448986,0.8201189006675661,0.125
294,12922,0.8013922325637489,0.808173596003999,0.08333333333333333
306,15298,0.8139101788776921,0.8142488293454325,0.14285714285714285
307,14585,0.8184404011247477,0.8169222645811467,0.09090909090909093
311,14277,0.8599948191787267,0.8587699359661863,0.2
311,19954,0.8088996618701583,0.8119715586073114,0.125
392,17106,0.8267483911601482,0.8228927153744016,0.0
400,16755,0.8076177669873865,0.8019903597252658,0.1111111111111111
400,19961,0.8009775804007121,0.8035351707221077,0.1
402,17886,0.8039294615160366,0.8233738174463621,0.14285714285714285
421,14585,0.8052318445541192,0.8052744209656922,0.09090909090909093
503,18854,0.8123161561997163,0.8089359165714276,0.07692307692307693
519,14585,0.8136701577113887,0.8137522819631843,0.0
577,89,0.8067413515270189,0.7891003578303853,0.09090909090909093
594,17106,0.8117899912430799,0.8136844462076509,0.0
637,14585,0.8136701577113887,0.8137522819631843,0.0
684,15298,0.8020753162809009,0.8047272768951759,0.1
694,15298,0.8041486172468321,0.8061018067394851,0.1
708,15298,0.8062157236946719,0.8058591499589345,0.1111111111111111
711,15298,0.8070106871698727,0.8095812633446752,0.1
731,17106,0.8024919485878834,0.8018484758939137,0.0
759,14277,0.851878494003703,0.8493213429628141,0.15384615384615385
766,15298,0.8001648904194095,0.8014106711640357,0.1111111111111111
768,15298,0.8115221288142058,0.8141647763638516,0.1111111111111111
785,15298,0.8205137581101972,0.8223224782061767,0.1
805,15298,0.8246999260291948,0.8220245223181246,0.125
814,15298,0.8106369332546474,0.8129350002564926,0.1111111111111111
822,15298,0.8002988651180943,0.8004516080691043,0.125
825,14277,0.8020894602250719,0.7816040348704186,0.15384615384615385
828,15298,0.8052451762179279,0.804057976216105,0.1111111111111111
832,15298,0.8234400160466706,0.8256556740003514,0.1111111111111111
836,15298,0.8262918262212321,0.8282150280945348,0.1111111111111111
841,15298,0.8094129479023423,0.8032895873049543,0.125
847,15298,0.8308446525187615,0.8279978738654131,0.1111111111111111
847,17106,0.8190620497043953,0.8155090831277604,0.0
906,14585,0.802829292773663,0.8029272765424529,0.09090909090909093
908,14277,0.8229123458136954,0.8068344121526209,0.15384615384615385
912,14277,0.8794520848236583,0.8740212804768109,0.25
945,15298,0.8205137581101972,0.8223224782061767,0.1
1055,14585,0.8043618927834817,0.8035209727266568,0.07692307692307693
1055,15298,0.8079777802474309,0.8050816349890727,0.1111111111111111
1185,22122,0.8080065711068914,0.7856505401121071,0.14285714285714285
1192,21760,0.8549464171434656,0.8547987191635252,0.3333333333333333
1196,4130,0.8218529767463933,0.8251730266007758,0.16666666666666666
1246,4130,0.8463006359255512,0.8481646563429543,0.16666666666666666
1302,15298,0.8120474394749915,0.8106115382812241,0.16666666666666666
1419,10232,0.8243867513766544,0.8067336985908097,0.1
1424,10232,0.8031459368911197,0.7957385685012446,0.1
1432,10232,0.8221592361914316,0.8138550976805549,0.1
1442,22122,0.8196424087297581,0.8086851734873857,0.14285714285714285
1477,22122,0.8401795793599071,0.8274798747188755,0.14285714285714285
1506,17938,0.8397708542753183,0.8172084570066911,0.2
1506,18353,0.8153532355538834,0.8157826601137863,0.1111111111111111
1583,15842,0.8184536625771737,0.8238396532321293,0.09090909090909093
1671,15842,0.8184536625771737,0.8238396532321293,0.09090909090909093
1722,22122,0.8245905535609653,0.8156103363719575,0.3333333333333333
1735,22122,0.8411476898263721,0.8279881838637742,0.3333333333333333
1744,22122,0.8117785217504149,0.7990150451267556,0.3333333333333333
1762,22122,0.8326949047297924,0.8295239484093768,0.3333333333333333
1770,22122,0.8581720660454342,0.8499712689570247,0.3333333333333333
1794,22122,0.8134141592670076,0.8082629013824736,0.3333333333333333
1856,22216,0.8098181899728283,0.8083752359919878,0.1111111111111111
1864,12085,0.8281912643665891,0.8240339407952063,0.07692307692307693
1900,6379,0.8125068496315803,0.7667667402688579,0.21428571428571427
1976,21819,0.8317431753113097,0.8397624161149218,0.08
2165,1009,0.8112648802533191,0.8515721195657436,0.5
2178,11027,0.8264793338325606,0.8293999881483975,0.2
2188,4304,0.8033665930556477,0.7764854808677099,0.047619047619047616
2191,206,0.8049817057716891,0.7108892006452275,0.2
2191,13101,0.8083735643269779,0.7920747553707829,0.1
2191,14083,0.8105722687562112,0.7703164985218903,0.09090909090909093
2206,14277,0.8188265677098732,0.8003991231243192,0.1
2269,12617,0.8493425122464333,0.8569780656828833,0.2
2269,17250,0.8132351707557758,0.8306028104364176,0.125
2291,19954,0.8150619679698515,0.8180019768950527,0.16666666666666666
2295,1008,0.8066237939871596,0.8080041917269539,0.08333333333333333
2300,14008,0.8213111526040541,0.8234308027145268,0.25
2310,4681,0.8306754548814244,0.8429369371077648,0.3
2312,19954,0.8019433072801561,0.8051460672777901,0.16666666666666666
2329,12355,0.8364860429050422,0.8341145498124436,0.2
2337,14202,0.8120934780602527,0.8139536023580116,0.125
2403,19129,0.8092508547485644,0.8350055844242257,0.2222222222222222
2448,6881,0.8056602650016479,0.8205367814214347,0.3333333333333333
2488,19129,0.831586866161588,0.8184330410765902,0.25
2549,15070,0.8021058769647519,0.8018866755958378,0.2
2685,19129,0.8479079695501509,0.8584863716440934,0.25
2710,6881,0.8370510187855842,0.8676450249315036,0.2857142857142857
2739,19129,0.8573579993728848,0.8674220730607974,0.25
2782,600,0.8150844585490038,0.8212299118332546,0.125
2800,19129,0.8029444631825423,0.8343804938709302,0.25
2805,6881,0.855269382192442,0.8863983177143044,0.4
2934,10818,0.8039211832677168,0.8047400548779283,0.4
3056,19129,0.8163853690141208,0.8379290736174825,0.25
3165,16233,0.803854455422383,0.8295371043820817,0.2
3195,2013,0.8017974259433622,0.7964682769704273,0.25
3267,17595,0.840312515571554,0.8473717015089964,0.25
3308,12617,0.8053319221562206,0.8149459552651993,0.3333333333333333
3321,3878,0.8114908669798678,0.7957760696990317,0.3333333333333333
3336,12617,0.8029302792887609,0.8124762900927794,0.3333333333333333
3407,17595,0.8329037593317149,0.8256504857803495,0.25
3419,18854,0.8175763589888128,0.8062846410833574,0.07692307692307693
3610,17812,0.8106763349374643,0.810802625672462,0.2857142857142857
3619,17106,0.8089960672162534,0.8114493212201196,0.0
3638,17106,0.8025694817286999,0.805694486069126,0.0
3638,21760,0.8102822838273824,0.8086754830570104,0.1
3640,17106,0.8334543051056105,0.8348496430492558,0.0
3640,21760,0.8076781099631483,0.807750998649548,0.1
3641,18721,0.8076078611717126,0.7549823133337218,0.0
3648,17812,0.8084050971022056,0.8064638666597983,0.2857142857142857
3652,17106,0.8059268059799183,0.8080038257903407,0.0
3658,17106,0.8131005898853769,0.8130186116436656,0.0
3661,11927,0.8310145201531149,0.8321467365676792,0.1
3661,17812,0.8167961277107489,0.8173109613070693,0.2857142857142857
3680,17812,0.8055349403154265,0.8042034607201888,0.2857142857142857
3697,17812,0.8047060458662083,0.8042704098000114,0.2857142857142857
3700,89,0.8038717983538393,0.7632745175758497,0.1
3707,17106,0.8020842564598021,0.8041624885688257,0.0
3707,21760,0.8127074052861925,0.8125625127003596,0.09090909090909093
3713,17812,0.8278867671838057,0.8283772170960024,0.2857142857142857
3727,17106,0.8119863703872467,0.8149423263066908,0.0
3753,17812,0.8174339534303278,0.8167472309496169,0.2857142857142857
3759,17106,0.8092830872564849,0.8099049230025095,0.0
3772,17812,0.8042412311559974,0.8047003766149268,0.2857142857142857
3868,17013,0.8271928916999461,0.8202939553838148,0.16666666666666666
3891,14023,0.8008915034326487,0.7888532820585407,0.25
3904,21760,0.8052447339155263,0.8008281221106036,0.3333333333333333
3937,14023,0.8038592626601129,0.8029583892315648,0.2857142857142857
4002,9472,0.8342246919859712,0.8651892916043062,0.16666666666666666
4219,19590,0.8191437218407941,0.8507137498187818,0.2
4450,3381,0.8085332354707879,0.8273295070475265,0.06666666666666668
4475,15888,0.8108452820612814,0.8166438060176037,0.2
4475,19129,0.8505412812659585,0.8616422034074614,0.25
4737,162,0.8059368654949871,0.8029415937599066,0.4
4746,21493,0.8004168301641534,0.7659841024173522,0.125
4891,4026,0.813297859692518,0.7990667475721328,0.25
5342,20297,0.8005882173358523,0.8002279385498551,0.05
5357,16298,0.8012252978074539,0.7911606415138751,0.2
5366,21820,0.8025929545944364,0.8042390495919651,0.09803921568627452
5424,22129,0.8100862753225119,0.8061150386106959,0.0625
5531,3434,0.8022739213262667,0.8156384950771279,0.06666666666666668
5611,3381,0.8008600426449579,0.8250135180146395,0.06666666666666668
5695,16487,0.8120459068428053,0.8159331689805894,0.0
5710,12326,0.8000193691718104,0.7774483785846928,0.08333333333333333
5747,22122,0.8129234403197845,0.8075525621715084,0.4
6047,16880,0.8118716270047813,0.8048439590301577,0.07692307692307693
6047,19579,0.8167212824480535,0.804799810356255,0.10526315789473684
6087,3035,0.8166511030060768,0.8115799040647876,0.4
6309,12350,0.8390316539349484,0.8259545260298169,0.25
6334,17106,0.8103100453533657,0.8130063872272631,0.125
6337,10232,0.8125740661888725,0.8121287056614982,0.1111111111111111
6353,18872,0.8046943115168724,0.8016678787948871,0.16666666666666666
6489,22277,0.8637889027267881,0.8648967547867243,0.6666666666666666
6496,15492,0.8004669082107614,0.8126839076028568,0.0
6582,10232,0.8125740661888725,0.8121287056614982,0.1111111111111111
6664,15856,0.8150001243219918,0.7766699672501759,0.1176470588235294
6691,5216,0.8102593857854362,0.7976083890622307,0.03571428571428571
6691,19670,0.8237440741558197,0.8217966832377359,0.1
6702,14328,0.8257527325504932,0.7925167653220351,0.3636363636363637
6703,14328,0.8194786746867241,0.7851406056908884,0.3076923076923077
6753,21666,0.8161127648468346,0.8555803290809563,0.043478260869565216
6757,11018,0.8536405517168569,0.8512241362935796,0.1111111111111111
6757,12085,0.8107636184515159,0.7940501494818681,0.0
6757,20842,0.8025583597473083,0.7902900007824655,0.1111111111111111
6760,8957,0.8285248441801117,0.8377546163849027,0.2222222222222222
6829,17250,0.805984906546247,0.7789964240522526,0.15384615384615385
6861,22122,0.8066056118493815,0.7865070878916152,0.25
6866,17293,0.8136801286772068,0.8505564108585921,0.1875
6922,10232,0.8125740661888725,0.8121287056614982,0.1111111111111111
6939,307,0.8209763337228215,0.8272109915355348,0.2857142857142857
6939,6343,0.8673842807805767,0.8655548360669274,0.2
6939,19696,0.8163929276825118,0.8167845973638335,0.17647058823529413
6939,20939,0.8093474744528235,0.8055608221380562,0.10526315789473684
